195.65.231.141	metrohm.com
195.69.152.71	astrazeneca.fr
198.162.234.203	icbc.com
198.175.116.54	intel.com
198.202.137.137	schneider-electric.fr
198.202.137.137	schneider.fr
198.204.187.5	fanniemae.com
198.22.41.84	avocent.com
198.231.10.128	plantronics.com
198.231.10.128	plantronics.fr
198.231.10.128	www.plantronics.com
198.240.216.35	www.credit-suisse.com
198.240.216.70	credit-suisse.com
198.47.29.34	ti.com
198.63.209.19	devicelock.com
198.63.209.19	protect-me.com
198.63.34.52	achetenligne.com
198.63.34.52	www.achetenligne.com
199.167.39.201	dolby.com
199.43.67.43	merrilllynch.com
200.196.152.201	itau.com
202.106.93.170	ecitic.com
202.211.194.111	resona-gr.co.jp
202.2.59.40	www.anz.com
202.39.72.2	microtek.com
203.112.90.200	hangseng.com
203.85.34.201	kef.com
204.110.160.151	unilever.com
204.138.115.146	hummingbird.com
204.244.237.54	kismetwireless.net
205.174.16.50	delta.com
205.188.18.208	www.aol.com
205.234.248.134	cosmeo.com
205.234.248.134	www.cosmeo.com
205.251.242.54	www.amazon.com
205.251.242.58	www.amazon.ca
206.142.218.254	www.hsbc.com
206.143.45.45	ml.com
206.155.64.21	ge.com
206.155.64.21	www.ge.com
206.159.101.241	sprint.com
206.16.44.90	netgear.fr
206.191.171.104	watchguard.com
206.201.172.11	bestinn.com
206.201.172.11	bestwestern.com
206.204.52.31	atstake.com
206.204.52.31	norton.com
206.204.52.31	sygate.com
206.204.52.31	sygatetech.com
206.204.52.31	symantec.fr
206.204.52.31	symantecliveupdate.com
206.204.52.31	symantec.net
207.11.41.147	homedepot.com
207.11.41.19	homedepot.com
207.189.107.133	lacie.com
207.189.107.133	www.lacie.com
207.236.107.175	www.laurentianbank.ca
207.253.54.141	laurentianbank.ca
207.35.11.15	bnc.ca
207.38.116.102	www.pioneerelectronics.com
207.44.154.77	misec.net
207.44.154.77	www.trojanhunter.com
208.69.252.29	ctfs.com
208.69.252.29	www.ctfs.com
208.71.239.109	www.krollontrack.com
208.71.239.44	www.ontrack.fr
208.71.239.55	www.ontrackdatarecovery.com
208.80.48.112	www.capitalone.com
208.80.50.112	capitalone.com
208.91.0.132	vmware.com
209.132.181.16	fedoraproject.org
209.132.183.181	redhat.com
209.132.183.88	redhat.fr
209.137.147.134	toshiba.com
209.137.147.134	www.toshiba.com
209.143.252.40	pepsico.com
209.164.192.109	metlife.com
209.225.27.33	pg.com
209.225.27.33	www.pg.com
209.246.137.150	koss.com
209.246.137.150	www.koss.com
209.87.209.206	www.zonealarm.com
209.87.209.206	zonealarm.com
209.87.209.44	zonelabs.com
209.87.209.76	zonealarm.fr
210.149.101.206	kenwoodusa.com
210.153.127.225	www.pentax.jp
210.162.174.136	sharp-world.com
210.166.208.10	accuphase.com
210.226.40.70	panasonic.com
211.45.27.198	samsung.com
212.100.243.199	espace-disque.com
212.116.217.17	isdb.org
212.116.217.17	www.isdb.org
212.23.167.56	www.priceminister.com
212.23.167.62	priceminister.com
212.23.182.5	www.priceminister.com
212.248.125.170	safensoft.com
212.248.125.170	www.safensoft.com
212.27.48.10	aliceadsl.fr
212.27.48.10	free.fr
212.63.232.37	dexia.be
213.128.133.98	casio-europe.com
213.128.133.98	www.casio-europe.com
213.130.37.65	emirates.com
213.139.102.57	ooshop.com
213.139.102.57	ooshop.fr
213.139.102.57	www.ooshop.com
213.139.105.222	lagardere.com
213.139.126.179	relaischateaux.com
213.139.126.179	www.relaischateaux.com
213.139.126.179	www.relaischateaux.fr
213.161.81.104	toshiba.fr
213.162.50.80	www.ebuyclub.com
213.166.32.84	luxair.lu
213.166.32.84	www.luxair.lu
213.174.127.10	adp.fr
213.174.127.10	aeroportsdeparis.fr
213.174.127.10	www.aeroportsdeparis.fr
213.174.196.170	easyjet.com
213.175.157.36	dataflex.com
213.198.65.17	yamaha-europe.com
213.220.100.41	f-prot.com
213.246.49.235	addjust.com
213.246.52.122	fujifilm.fr
